"position" "class" "mc" "h" "uc" "group" "generation"
13700005 "CHH" 0 18 18 "119_1_r1" "119_1"
13700010 "CHG" 0 40 40 "119_1_r1" "119_1"
13700012 "CHG" 0 16 16 "119_1_r1" "119_1"
13700013 "CHH" 0 17 17 "119_1_r1" "119_1"
13700014 "CHH" 0 17 17 "119_1_r1" "119_1"
13700017 "CHG" 0 43 43 "119_1_r1" "119_1"
13700019 "CHG" 0 15 15 "119_1_r1" "119_1"
13700020 "CHH" 0 44 44 "119_1_r1" "119_1"
13700024 "CG" 1 45 44 "119_1_r1" "119_1"
13700025 "CG" 0 17 17 "119_1_r1" "119_1"
13700028 "CHH" 0 16 16 "119_1_r1" "119_1"
13700030 "CHG" 0 49 49 "119_1_r1" "119_1"
13700032 "CHG" 0 17 17 "119_1_r1" "119_1"
13700036 "CHH" 1 52 51 "119_1_r1" "119_1"
13700037 "CHH" 2 52 50 "119_1_r1" "119_1"
13700040 "CHH" 0 15 15 "119_1_r1" "119_1"
13700044 "CHH" 0 15 15 "119_1_r1" "119_1"
13700045 "CHH" 0 15 15 "119_1_r1" "119_1"
13700051 "CHH" 1 17 16 "119_1_r1" "119_1"
13700053 "CHH" 0 18 18 "119_1_r1" "119_1"
13700055 "CHH" 0 49 49 "119_1_r1" "119_1"
13700060 "CHH" 0 17 17 "119_1_r1" "119_1"
13700062 "CG" 0 47 46 "119_1_r1" "119_1"
13700063 "CG" 0 17 17 "119_1_r1" "119_1"
13700064 "CHG" 0 17 17 "119_1_r1" "119_1"
13700065 "CHG" 0 48 48 "119_1_r1" "119_1"
13700067 "CHG" 0 17 17 "119_1_r1" "119_1"
13700069 "CHH" 0 17 17 "119_1_r1" "119_1"
13700071 "CHH" 1 17 16 "119_1_r1" "119_1"
13700072 "CHH" 0 17 17 "119_1_r1" "119_1"
13700073 "CHG" 0 43 43 "119_1_r1" "119_1"
13700075 "CHG" 0 17 17 "119_1_r1" "119_1"
13700076 "CHH" 0 16 16 "119_1_r1" "119_1"
13700078 "CHH" 0 15 15 "119_1_r1" "119_1"
13700081 "CG" 1 41 40 "119_1_r1" "119_1"
13700082 "CG" 0 14 14 "119_1_r1" "119_1"
13700083 "CHG" 0 14 14 "119_1_r1" "119_1"
13700085 "CHG" 0 41 41 "119_1_r1" "119_1"
13700087 "CHG" 0 14 14 "119_1_r1" "119_1"
13700088 "CHH" 0 13 13 "119_1_r1" "119_1"
13700091 "CHH" 0 13 13 "119_1_r1" "119_1"
13700094 "CHH" 0 13 13 "119_1_r1" "119_1"
13700096 "CHH" 2 31 29 "119_1_r1" "119_1"
13700098 "CHG" 0 32 32 "119_1_r1" "119_1"
13700100 "CHG" 0 12 12 "119_1_r1" "119_1"
13700102 "CG" 0 32 32 "119_1_r1" "119_1"
13700103 "CG" 0 12 12 "119_1_r1" "119_1"
13700105 "CHH" 0 32 32 "119_1_r1" "119_1"
13700106 "CHG" 1 32 31 "119_1_r1" "119_1"
13700108 "CHG" 0 11 11 "119_1_r1" "119_1"
13700111 "CHH" 0 34 34 "119_1_r1" "119_1"
13700115 "CHH" 0 10 10 "119_1_r1" "119_1"
